English (uenj),:,ENGL204,ENGL225,ENGL331,ENGL335,ENGL496,ENGL422,:,ENGLWWW,ENGLAAA,ENGLBBB,ENGLCCC,ENGLCCC,ENGLDDD,ENGLEEE,ENGLXXX,ENGLXXX,ENGLXXX,,,,,,,
Enviro,:,BIOL130,BIOL251,BIOL248,CHEM103,CHEM201,ECON102,GEOL231,GEOG216,GEOG235,GEOG375,ENVS101,ENVS202,ENVS451,ENVS452,:,SCIENVI,SCIENVI,POLENVI,POLENVI,POLENVI,COMENVI,,,
Fashion (Apparel),:,FASH140,FASH141,FASH153,FASH223,FASH245,FASH326,FASH362,MATH117,ARTS222,FASH200,FASH243,FASH342,FASH352,FASH355,FASH357,FASH447,FASH448,FASH449,FASH487,,,,,
Fashion (Merch),:,FASH140,FASH141,FASH153,FASH223,FASH245,FASH326,FASH362,MATH117,FASH003,FASH241,FASH310,FASH346,FASH410,FASH452,FASH464,FASH496,:,FASHXXX,FASHXXX,,,,,
Finance (GEN),:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,FINA301,FINA431,FINA445,MGMT485,:,FINAGEN,FINAGEN,FINAGEN,,,,
Finance (PLAN),:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,ACCT428,FINA300,FINA321,FINA400,FINA445,:,FINAPPP,FINAPPP,,,,
Nutrition (NnD),:,NUTR205,NUTR262,NUTR364,NUTR381,NUTR384,NUTR478,NUTR482,PSYC101,BIOL130,BIOL235,BIOL307,CHEM107,CHEM108,CHEM207,CHEM301,NUTR005,NUTR374,NUTR479,NUTR483,,,,,
Nutrition (CPD),:,NUTR205,NUTR262,NUTR364,NUTR381,NUTR384,NUTR478,NUTR482,PSYC101,BIOL130,BIOL235,CHEM107,CHEM108,CHEM207,CHEM301,NUTR002,NUTR374,NUTR427,NUTR483,NUTR485,NUTR486,NUTR487,NUTR488,NUTR489,
Food Sci,:,BIOL130,BIOL235,BIOL307,CHEM107,CHEM108,CHEM207,CHEM208,CHEM301,FDSC161,FDSC351,FDSC405,FDSC408,MATH208,CHEM303,FDSC413,FDSC495,MATH219,MATH220,NUTR374,PHYS211,PHYS212,,,
Geo (GIS),:,GEOG101,GEOG110,GEOG203,GEOG216,GEOG214,GEOG316,GEOG328,GEOG486,:,GEOGREG,GEOGREG,GEOGGIS,GEOGGIS,GEOGGIS,GEOGGIS,,,,,,,,,
Geo (GloStud),:,GEOG101,GEOG110,GEOG203,GEOG216,GEOG165,GEOG212,GEOG222,GEOG460,:,GEOGREG,GEOGREG,GEOGREG,GEOGGLO,GEOGGLO,GEOGGLO,,,,,,,,,
Health (FIT),:,CHEM107,COMM215,HLTH105,HLTH206,HLTH326,NUTR205,NUTR262,NUTR333,NUTR482,BIOL130,BIOL241,BIOL242,BIOL303,MRKT181,NUTR271,HLTH310,HLTH410,HLTH495,:,HLTHXXX,,,,
Health (NnFS),:,CHEM107,COMM215,HLTH105,HLTH206,HLTH326,NUTR205,NUTR262,NUTR333,NUTR482,BIOL142,CHEM201,FINA100,NUTR364,NUTR381,NUTR384,NUTR478,NUTR495,:,HLTHXXX,HLTHXXX,,,,
History,:,HIST225,HIST250,HIST450,:,HIST1AA,HIST1WW,HIST3AA,HIST3EE,HIST3WW,HIST3XX,HIST3XX,HIST3XX,,,,,,,,,,,,
Int Bus,:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,MGMT485,FINA357,MGMT308,MGMT323,MGMT412,MRKT318,,,,,,
Management (Entre),:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,MGMT485,ENTR300,ENTR301,ENTR495,:,MGMTENT,MGMTENT,MGMTENT,,,,
Market,:,ACCT220,ACCT221,BUIS200,ECON101,ECON102,FINA248,MATH107,MATH217,MGMT215,MGMT280,MGMT372,MRKT181,MGMT485,MRKT310,MRKT301,MRKT402,:,MRKT3XX,MRKT3XX,MRKT3XX,,,,
Math,:,MATH157,MATH206,MATH219,MATH220,MATH221,MATH226,MATH319,MATH427,:,CSCIMAT,MATH3XX,MATH3XX,MATH3XX,MATH3XX,MATH3XX,MATHSCI,MATHSCI,MATHSCI,MATHSCI,MATHSCI,,,,
Poli Sci,:,POSC110,POSC120,MATH117,POSC313,POSC316,POSC337,POSC341,POSC425,:,POSC2XX,POSC2XX,POSC3XX,POSC3XX,POSCXXX,,,,,,,,,,
Psych,:,PSYC101,PSYC291,PSYC391,MATH117,PHIL102,BIOL142,:,PSYCBBB,PSYCDDD,PSYCLLL,PSYCSSS,PSYCUUU,PSYCUUU,PSYCUUU,PSYC4XX,PSYC4XX,,,,,,,,
Soc,:,SOCI101,SOCI301,SOCI302,SOCI303,SOCI320,SOCI480,:,SOCIXXX,SOCIXXX,SOCIXXX,SOCI3XX,SOCI3XX,,,,,,,,,,,,
Spanish,:,LING200,SPAN301,SPAN302,:,SPANCCC,SPANCCC,SPANLLL,SPANLLL,SPANXXX,SPANXXX,SPANXXX,SPANXXX,,,,,,,,,,,,
