ACCTXXX,Accounting Elec,ACCT303,ACCT326,ACCT428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASHTHE,Fashion for Theatre,FASH140,FASH223,FASH253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLTHE,Written Drama,ENGL220,ENGL271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMIII,Individual Crime,ANTH258,HLTH326,CRIM224,CRIM270,NEUR225,PHIL102,PSYC212,PSYC271,PSYC322,SOCI333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMLLL,Law and Legal,ANTH206,CRIM201,CRIM240,CRIM313,MGMT215,POSC206,POSC250,POSC315,POSC316,SOCI230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRIMSSS,Social Crime,CRIM211,CRIM222,CRIM233,CRIM321,HIST186,POSC337,SOCI130,SOCI245,SOCI263,SOCI288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCIIS,IS Electives,CSCI320,CSCI340,CSCI140,ENGL286,ENGL371,ENGL372,ESMT164,CSCI300,CSCI303,CSCI306,CSCI325,CSCI333,CSCI345,CSCI373,CSCI400,CSCI455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCIGEN,Comp Sci Elec,CSCI300,CSCI303,CSCI306,CSCI320,CSCI325,CSCI333,CSCI340,CSCI345,CSCI373,CSCI400,CSCI455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECONXXX,Economic Elec,ECON100,ECON105,ECON106,ECON200,ECON220,ECON306,ECON309,ECON320,ECON323,ECON333,ECON402,ECON410,ECON414,ECON435,QUAN470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECONBIZ,Business Elec,ACCT221,BUIS200,ECON414,MGMT215,MGMT381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLAAA,Early British Lit,ENGL220,ENGL251,ENGL313,ENGL314,ENGL317,ENGL375,ENGL407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
